,Sno,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Postal_Code,Age,Domicile_Name,Date_of_Interview,Status,LOB,Location,Region_Name
0,1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,201301,34,Goa,08-01-2013,Joined,ERS,Noida,North
1,195,2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,201301,25,Goa,17-04-2013,Joined,ERS,Noida,North
2,588,2127782,No,17,30,E3,20,20,0,No,No,Male,Direct,10,201301,36,Goa,20-05-2014,Joined,ERS,Noida,North
3,632,2138445,No,2,30,E1,132.45,42.86,-38.54,No,Yes,Male,Direct,4,201301,30,Goa,29-06-2014,Joined,ERS,Noida,North
4,688,2150946,Yes,4,30,E1,22.22,-23.33,-37.27,No,No,Male,Agency,2,201301,26,Goa,11-04-2014,Joined,ERS,Noida,North
5,1627,2226400,No,0,75,E1,53.33,53.33,0,No,Yes,Male,Direct,3,201301,28,Goa,02-06-2013,Joined,ERS,Noida,North
6,4449,2463974,No,0,60,E1,22.22,38.89,13.64,No,No,Male,Direct,3,201301,26,Goa,11-02-2014,Joined,ERS,Noida,North
7,6416,2820376,Yes,5,60,E1,33.33,27.78,-4.17,No,No,Female,Agency,3,201301,25,Goa,31-05-2013,Joined,ERS,Noida,North
8,6721,2851167,No,0,60,E2,33.33,48.89,11.67,Yes,No,Female,Agency,6,201301,29,Goa,17-05-2013,Joined,ERS,Noida,North
9,8160,3257017,No,2,30,E1,33.33,31.11,-1.67,No,No,Female,Agency,3,201301,27,Goa,08-12-2013,Joined,ERS,Noida,North
10,8246,3258205,Yes,5,60,E1,33.33,31.11,-1.67,No,No,Male,Agency,3,201301,26,Goa,25-09-2013,Not Joined,ERS,Noida,North
11,8393,3267512,No,21,30,E1,33.93,25,-6.67,No,No,Male,Direct,4,201301,28,Goa,07-11-2013,Not Joined,ERS,Noida,North
12,8561,3278979,No,63,60,E1,33.33,77.78,33.33,No,No,Male,Agency,4,201301,30,Goa,18-12-2013,Joined,ERS,Noida,North
13,10412,3443484,Yes,3,45,E2,26.67,18,-6.84,No,No,Male,Agency,5,201301,34,Goa,12-02-2013,Joined,ERS,Noida,North
14,653,2146026,Yes,1,45,E1,18.18,-12.73,-26.15,No,Yes,Male,Direct,4,201301,31,Himachal Pradesh,11-07-2014,Joined,ERS,Noida,North
15,1194,2207227,Yes,40,30,E1,33.33,-11.11,-33.33,No,No,Female,Direct,3,201301,26,Himachal Pradesh,24-02-2013,Joined,ERS,Noida,North
16,1320,2214852,No,0,0,E3,15.87,10.08,-5,No,Yes,Male,Direct,10,201301,35,Himachal Pradesh,02-04-2013,Joined,ERS,Noida,North
17,1757,2247230,Yes,5,30,E1,25,25,0,No,No,Male,Agency,3,201301,28,Himachal Pradesh,04-04-2013,Joined,ERS,Noida,North
18,2072,2282880,Yes,3,30,E1,37.5,31.25,-4.55,No,Yes,Male,Employee Referral,3,201301,27,Himachal Pradesh,25-05-2013,Joined,ERS,Noida,North
19,4354,2457559,No,4,30,E1,22.22,-13.33,-29.09,No,No,Male,Agency,2,201301,26,Himachal Pradesh,24-01-2014,Joined,ERS,Noida,North
20,5290,2569149,No,2,60,E1,22.22,16.67,-4.55,No,No,Female,Agency,3,201301,26,Himachal Pradesh,29-11-2013,Not Joined,ERS,Noida,North
21,5487,2590315,Yes,60,45,E2,22.22,77.78,45.45,No,No,Male,Agency,6,201301,29,Himachal Pradesh,12-06-2014,Not Joined,ERS,Noida,North
22,5636,2598439,Yes,98,60,E1,45.57,45.57,0,No,No,Male,Agency,4,201301,28,Himachal Pradesh,01-07-2014,Joined,ERS,Noida,North
23,6213,2798620,No,7,45,E1,22.22,-13.33,-29.09,No,No,Male,Agency,2,201301,28,Himachal Pradesh,10-04-2013,Not Joined,ERS,Noida,North
24,6406,2820164,Yes,4,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,2,201301,26,Himachal Pradesh,28-05-2013,Joined,ERS,Noida,North
25,7298,3050673,Yes,1,30,E1,33.33,33.33,0,No,No,Female,Employee Referral,3,201301,26,Himachal Pradesh,31-07-2013,Not Joined,ERS,Noida,North
26,7874,3239088,Yes,10,60,E1,33.33,31.11,-1.67,No,No,Female,Agency,3,201301,26,Himachal Pradesh,20-09-2013,Not Joined,ERS,Noida,North
27,11174,3537790,Yes,19,30,E2,5.26,2.63,-2.5,Yes,No,Female,Direct,7,201301,34,Himachal Pradesh,17-05-2013,Joined,ERS,Noida,North
28,11312,3582790,Yes,8,30,E1,41.18,38.82,-1.67,No,No,Male,Direct,3,201301,34,Himachal Pradesh,01-06-2013,Joined,ERS,Noida,North
29,11375,3588826,Yes,16,30,E3,2.83,-12.6,-15,No,No,Male,Agency,11,201301,34,Himachal Pradesh,19-03-2013,Joined,ERS,Noida,North
30,1093,2197234,Yes,10,30,E1,33.33,37.78,3.33,No,No,Male,Agency,3,201301,28,Jharkhand,26-01-2013,Not Joined,ERS,Noida,North
31,1131,2200806,No,9,45,E2,33.91,36.79,2.15,No,No,Male,Direct,7,201301,30,Jharkhand,08-02-2013,Joined,ERS,Noida,North
32,1167,2205424,Yes,1,60,E1,33.33,0,-25,No,Yes,Female,Employee Referral,3,201301,26,Jharkhand,17-02-2013,Joined,ERS,Noida,North
33,1389,2218750,Yes,2,30,E1,94.44,80.56,-7.14,No,Yes,Male,Direct,3,201301,28,Jharkhand,25-04-2013,Joined,ERS,Noida,North
34,2036,2282508,Yes,11,30,E1,22.22,33.33,9.09,No,No,Female,Employee Referral,5,201301,30,Jharkhand,21-05-2013,Joined,ERS,Noida,North
35,2043,2282585,No,0,0,E1,20.97,20.97,0,No,Yes,Male,Employee Referral,3,201301,26,Jharkhand,22-05-2013,Joined,ERS,Noida,North
36,2415,2286850,Yes,1,30,E1,56.86,56.86,0,No,Yes,Female,Direct,5,201301,30,Jharkhand,13-07-2013,Joined,ERS,Noida,North
37,3048,2360696,Yes,13,30,E1,1.21,1.21,0,No,No,Male,Direct,2,201301,23,Jharkhand,24-09-2013,Joined,ERS,Noida,North
38,6722,2851191,Yes,2,60,E1,33.33,-13.33,-35,No,No,Female,Agency,3,201301,27,Jharkhand,17-05-2013,Not Joined,ERS,Noida,North
